lon,lat,som,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
141.9965719,-36.82372514,3.12,852,1158,1528,1822,1934,2094,2386,2394,3881,3213
141.9965694,-36.82374194,3.13,852,1158,1528,1822,1934,2094,2386,2394,3881,3213
141.9965669,-36.82375874,3.07,852,1158,1528,1822,1934,2094,2386,2394,3881,3213
141.9965643,-36.82377554,3.205,852,1158,1528,1822,1934,2094,2386,2394,3881,3213
141.9965618,-36.82379234,3.33,852,1158,1528,1822,1934,2094,2386,2394,3881,3213
141.9965592,-36.82380914,3.26,862,1134,1510,1822,1934,2094,2316,2394,3881,3213
141.9965566,-36.82382584,3.19,862,1134,1510,1822,1934,2094,2316,2394,3881,3213
141.9965541,-36.82384264,3.33,862,1134,1510,1822,1934,2094,2316,2394,3881,3213
141.9965515,-36.82385944,3.415,862,1134,1510,1822,1934,2094,2316,2394,3881,3213
141.9965489,-36.82387624,3.405,862,1134,1510,1822,1934,2094,2316,2394,3881,3213
141.9965463,-36.82389294,3.38,862,1134,1510,1822,1934,2094,2316,2394,3881,3213
141.9965438,-36.82390974,3.44,885,1104,1530,1806,1945,2114,2258,2350,3901,3238
141.9965412,-36.82392654,3.385,885,1104,1530,1806,1945,2114,2258,2350,3901,3238
141.9965387,-36.82394334,3.315,885,1104,1530,1806,1945,2114,2258,2350,3901,3238
141.9965362,-36.82396014,3.285,885,1104,1530,1806,1945,2114,2258,2350,3901,3238
141.9965336,-36.82397684,3.31,885,1104,1530,1806,1945,2114,2258,2350,3901,3238
141.996531,-36.82399364,3.275,885,1106,1516,1806,1945,2114,2246,2350,3901,3238
141.9965285,-36.82401044,3.23,885,1106,1516,1806,1945,2114,2246,2350,3901,3238
141.9965259,-36.82402724,3.225,885,1106,1516,1806,1945,2114,2246,2350,3901,3238
141.9965233,-36.82404404,3.29,885,1106,1516,1806,1945,2114,2246,2350,3901,3238
141.9965208,-36.82406084,3.275,885,1106,1516,1806,1945,2114,2246,2350,3901,3238
141.9965182,-36.82407754,3.205,881,1124,1542,1801,2006,2138,2282,2388,3927,3228
141.9965156,-36.82409434,3.17,881,1124,1542,1801,2006,2138,2282,2388,3927,3228
141.996513,-36.82411104,3.155,881,1124,1542,1801,2006,2138,2282,2388,3927,3228
141.9965105,-36.82412784,3.175,881,1124,1542,1801,2006,2138,2282,2388,3927,3228
141.9965079,-36.82414464,3.275,881,1124,1542,1801,2006,2138,2282,2388,3927,3228
141.9965054,-36.82416144,3.4,881,1124,1542,1801,2006,2138,2282,2388,3927,3228
141.9965028,-36.82417824,3.4,935,1210,1592,1801,2006,2138,2372,2388,3927,3228
141.9965003,-36.82419504,3.365,935,1210,1592,1801,2006,2138,2372,2388,3927,3228
141.9964977,-36.82421184,3.495,935,1210,1592,1801,2006,2138,2372,2388,3927,3228
141.9964951,-36.82422864,3.53,935,1210,1592,1801,2006,2138,2372,2388,3927,3228
141.9964925,-36.82424534,3.43,935,1210,1592,1801,2006,2138,2372,2388,3927,3228
141.9964899,-36.82426224,3.5,904,1198,1552,1816,1988,2115,2434,2409,3979,3218
141.9964874,-36.82427894,3.57,904,1198,1552,1816,1988,2115,2434,2409,3979,3218
141.9964848,-36.82429574,3.585,904,1198,1552,1816,1988,2115,2434,2409,3979,3218
141.9964823,-36.82431254,3.605,904,1198,1552,1816,1988,2115,2434,2409,3979,3218
141.9964797,-36.82432934,3.58,904,1198,1552,1816,1988,2115,2434,2409,3979,3218
141.9964771,-36.82434614,3.61,918,1194,1602,1816,1988,2115,2430,2409,3979,3218
141.9964746,-36.82436294,3.675,918,1194,1602,1816,1988,2115,2430,2409,3979,3218
141.996472,-36.82437964,3.595,918,1194,1602,1816,1988,2115,2430,2409,3979,3218
141.9964694,-36.82439644,3.64,918,1194,1602,1816,1988,2115,2430,2409,3979,3218
141.9964667,-36.82441324,3.64,918,1194,1602,1816,1988,2115,2430,2409,3979,3218
141.9964643,-36.82443004,3.65,918,1194,1602,1816,1988,2115,2430,2409,3979,3218
141.9964616,-36.82444684,3.625,925,1198,1622,1819,1923,2087,2424,2406,4045,3244
141.9964591,-36.82446364,3.69,925,1198,1622,1819,1923,2087,2424,2406,4045,3244
141.9964565,-36.82448044,3.695,925,1198,1622,1819,1923,2087,2424,2406,4045,3244
141.996454,-36.82449714,3.705,925,1198,1622,1819,1923,2087,2424,2406,4045,3244
141.9964515,-36.82451394,3.65,925,1198,1622,1819,1923,2087,2424,2406,4045,3244
141.9964489,-36.82453074,3.64,922,1182,1608,1819,1923,2087,2372,2406,4045,3244
141.9964464,-36.82454754,3.67,922,1182,1608,1819,1923,2087,2372,2406,4045,3244
141.9964438,-36.82456444,3.595,922,1182,1608,1819,1923,2087,2372,2406,4045,3244
141.9964412,-36.82458104,3.535,922,1182,1608,1819,1923,2087,2372,2406,4045,3244
141.9964386,-36.82459784,3.46,922,1182,1608,1819,1923,2087,2372,2406,4045,3244
141.9964362,-36.82461474,3.475,922,1182,1608,1819,1923,2087,2372,2406,4045,3244
141.9964335,-36.82463154,3.485,930,1182,1606,1832,1922,2084,2320,2442,4075,3245
141.996431,-36.82464824,3.52,930,1182,1606,1832,1922,2084,2320,2442,4075,3245
141.9964285,-36.82466504,3.565,930,1182,1606,1832,1922,2084,2320,2442,4075,3245
141.9964258,-36.82468184,3.51,930,1182,1606,1832,1922,2084,2320,2442,4075,3245
141.9964233,-36.82469864,3.6,930,1182,1606,1832,1922,2084,2320,2442,4075,3245
141.9964208,-36.82471544,3.665,921,1150,1622,1832,1922,2084,2330,2442,4075,3245
141.9964183,-36.82473224,3.635,921,1150,1622,1832,1922,2084,2330,2442,4075,3245
141.9964157,-36.82474904,3.495,921,1150,1622,1832,1922,2084,2330,2442,4075,3245
141.9964131,-36.82476574,3.56,921,1150,1622,1832,1922,2084,2330,2442,4075,3245
141.9964105,-36.82478254,3.595,921,1150,1622,1832,1922,2084,2330,2442,4075,3245
141.9964079,-36.82479934,3.51,959,1182,1638,1817,1908,2099,2330,2473,4075,3223
141.9964054,-36.82481614,3.435,959,1182,1638,1817,1908,2099,2330,2473,4075,3223
141.9964028,-36.82483304,3.39,959,1182,1638,1817,1908,2099,2330,2473,4075,3223
141.9964002,-36.82484974,3.355,946,1200,1632,1804,1890,1984,2330,2260,3773,3174
141.9963976,-36.82486654,3.41,946,1200,1632,1804,1890,1984,2330,2260,3773,3174
141.996395,-36.82488324,3.45,946,1200,1632,1804,1890,1984,2330,2260,3773,3174
