lat,lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
5934025.0,600195.0,942,1182,1506,1779,2020,2195,2260,2413,3674,2486
5934025.0,600205.0,932,1194,1512,1770,2015,2149,2214,2451,3623,2478
5934025.0,600215.0,908,1144,1470,1770,2015,2149,2162,2451,3623,2478
5934025.0,600225.0,910,1190,1484,1803,2062,2186,2282,2416,3631,2494
5934025.0,600235.0,857,1144,1418,1803,2062,2186,2254,2416,3631,2494
5934025.0,600245.0,863,1176,1454,1788,2055,2222,2302,2418,3642,2481
5934025.0,600255.0,936,1188,1498,1788,2055,2222,2244,2418,3642,2481
5934025.0,600265.0,914,1144,1440,1741,1985,2138,2218,2392,3671,2457
5934025.0,600275.0,898,1206,1480,1741,1985,2138,2236,2392,3671,2457
5934025.0,600285.0,885,1152,1422,1771,2011,2140,2200,2420,3662,2470
5934025.0,600295.0,938,1190,1498,1771,2011,2140,2240,2420,3662,2470
5934025.0,600305.0,918,1156,1466,1804,2055,2170,2208,2409,3654,2510
5934025.0,600315.0,924,1180,1488,1804,2055,2170,2340,2409,3654,2510
5934025.0,600325.0,917,1212,1546,1827,2073,2206,2300,2408,3685,2560
5934025.0,600335.0,966,1208,1504,1827,2073,2206,2232,2408,3685,2560
5934025.0,600345.0,956,1226,1522,1799,2007,2157,2286,2386,3694,2534
5934025.0,600355.0,942,1214,1560,1799,2007,2157,2224,2386,3694,2534
5934025.0,600365.0,956,1204,1590,1820,1981,2109,2258,2395,3682,2557
5934025.0,600375.0,1000,1232,1584,1820,1981,2109,2222,2395,3682,2557
5934025.0,600385.0,996,1258,1566,1825,2038,2140,2182,2374,3652,2582
5934025.0,600395.0,966,1266,1574,1825,2038,2140,2252,2374,3652,2582
5934025.0,600405.0,924,1232,1560,1826,2000,2156,2224,2335,3664,2581
5934025.0,600415.0,966,1178,1560,1826,2000,2156,2208,2335,3664,2581
5934025.0,600425.0,990,1228,1550,1797,2018,2169,2266,2379,3704,2542
5934025.0,600435.0,977,1262,1594,1797,2018,2169,2276,2379,3704,2542
5934025.0,600445.0,962,1270,1608,1829,2009,2122,2250,2407,3704,2557
5934025.0,600455.0,969,1258,1598,1829,2009,2122,2266,2407,3704,2557
5934025.0,600465.0,1004,1246,1628,1847,2002,2114,2252,2356,3668,2579
5934025.0,600475.0,1024,1258,1632,1847,2002,2114,2200,2356,3668,2579
5934025.0,600485.0,982,1252,1626,1838,1974,2082,2220,2285,3666,2588
