lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.1348106,-36.74234796,1/04/2022,126.8,2.425,32.7,17.99,924,1286,1636,2076,2074,2262,2200,2478,3889,2793
142.1348095,-36.74236078,1/04/2022,126.8,2.43,30.95,17.78,924,1286,1636,2076,2074,2262,2200,2478,3889,2793
142.13481,-36.7423742,1/04/2022,126.8,2.37,34.15,18.15,924,1286,1636,2076,2074,2262,2200,2478,3889,2793
142.134807,-36.74238929,1/04/2022,126.8,2.355,36.1,17.78,924,1286,1636,2076,2074,2262,2200,2478,3889,2793
142.1348079,-36.7424042,1/04/2022,126.7,2.33,33.92,17.47,924,1286,1636,2076,2074,2262,2200,2478,3889,2793
142.1348146,-36.74241704,1/04/2022,126.8,2.27,33.9,17.21,924,1286,1636,2076,2074,2262,2200,2478,3889,2793
142.1348186,-36.74243226,1/04/2022,126.8,2.225,36.48,16.88,1058,1300,1662,2063,2088,2210,2246,2535,3967,2838
142.1348275,-36.74244811,1/04/2022,126.8,2.29,36.45,16.76,1058,1300,1662,2063,2088,2210,2246,2535,3967,2838
142.1348376,-36.74246359,1/04/2022,126.8,2.375,34.42,16.58,1058,1300,1662,2063,2088,2210,2246,2535,3967,2838
142.1348524,-36.74247529,1/04/2022,126.8,2.41,35.42,16.19,1058,1300,1662,2063,2088,2210,2246,2535,3967,2838
142.1348825,-36.74247615,1/04/2022,126.8,2.4,35.1,16.13,1058,1300,1662,2063,2088,2210,2246,2535,3967,2838
142.1349082,-36.74248229,1/04/2022,126.8,2.43,34.0,16.04,1016,1156,1548,1981,2197,2316,2110,2603,3888,2885
142.134927,-36.74249357,1/04/2022,126.8,2.435,34.45,16.36,1016,1156,1548,1981,2197,2316,2110,2603,3888,2885
142.1349466,-36.74250504,1/04/2022,126.8,2.345,33.65,16.63,1016,1156,1548,1981,2197,2316,2110,2603,3888,2885
142.1349673,-36.74251741,1/04/2022,126.8,2.24,34.0,16.99,1152,1414,1838,1981,2197,2316,2448,2603,3888,2885
142.134976,-36.74253352,1/04/2022,126.8,2.2,32.27,17.17,1152,1414,1838,1981,2197,2316,2448,2603,3888,2885
142.1349837,-36.74254965,1/04/2022,126.8,2.23,34.77,17.15,1152,1414,1838,1981,2197,2316,2448,2603,3888,2885
142.1349913,-36.74256602,1/04/2022,126.8,2.225,34.77,17.14,1152,1414,1838,1981,2197,2316,2448,2603,3888,2885
142.1349982,-36.74258243,1/04/2022,126.9,2.295,36.98,17.26,1152,1414,1838,1981,2197,2316,2448,2603,3888,2885
142.1350156,-36.74259734,1/04/2022,126.9,2.29,36.35,17.86,1230,1498,1924,1981,2197,2316,2552,2603,3888,2885
142.1350329,-36.74261374,1/04/2022,126.9,2.175,34.23,17.97,1200,1456,1944,2124,2172,2322,2520,2598,4151,2991
142.135042,-36.74263143,1/04/2022,126.8,2.105,34.33,18.17,1200,1456,1944,2124,2172,2322,2520,2598,4151,2991
