Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(m),Distance(m),Duration(s),Track(deg),Elevation(m),Area Count,Time,Y Offset(m),Pass Num,Speed(km/h),Hex Shaft Er(%),Good Ride(%),DF Gauge W(N),DF Margin(N),Good Contact(%),Tgt Rate(ksds/ha),Soil OM(%),Soil Mois(%),Furr Qual(%),Clean Furr(%),Soil Temp(°C),Singulation(%),Skips(%),Doubles(%),Proper Spacing(%),Spac Vartn(%),Yield Loss(L/ha),Rt Apd Ct(ksds/ha),SeedFlow(ksds/s),Active Rows((1)),Seed Space(cm),Prod(ha/h),Date,Sing Qual,Rate Qual
142.1348106,-36.74234796,V51,field_map_2022_04_01_000,Timok,1,24.38,1.023,1,159,126.8,On,1/04/2022,0,2,3.763,0,100,0,0,100,484.89,2.425,32.7,7.325,99.53,17.99,76.5,23.5,0.1,100,2.7,0,60.07,0.006,64,43.69,8.98,1/04/2022,Skip,Under Target
142.1348095,-36.74236078,V51,field_map_2022_04_01_000,Timok,2,24.38,1.281,1,156,126.8,On,1/04/2022,0,2,4.039,0,100,0,0,100,480.03,2.43,30.95,17.65,95.35,17.78,77.8,22.2,0.1,100,3.4,0,61.8,0.0062,64,42.47,11.24,1/04/2022,Skip,Under Target
142.13481,-36.7423742,V51,field_map_2022_04_01_000,Timok,3,24.38,1.368,1,153,126.8,On,1/04/2022,0,2,4.744,0,100,0,0,100,460.04,2.37,34.15,18.77,96.67,18.15,76.6,23.4,0.1,100,2.4,0,86.3,0.0086,64,30.41,12.01,1/04/2022,Skip,Under Target
142.134807,-36.74238929,V51,field_map_2022_04_01_000,Timok,4,24.38,1.335,1,148,126.8,On,1/04/2022,0,2,4.744,0,100,0,0,100,1054.3,2.355,36.1,12.63,98.1,17.78,75,25,0.1,100,2.7,0,190.89,0.019,64,13.75,11.72,1/04/2022,Skip,Under Target
142.1348079,-36.7424042,V51,field_map_2022_04_01_000,Timok,5,24.38,1.42,1,144,126.7,On,1/04/2022,0,2,4.925,0,100,0,0,100,1792.7,2.33,33.92,38.63,93.75,17.47,74.3,25.7,0.1,100,2.7,0,287.61,0.029,64,9.126,12.46,1/04/2022,Skip,Under Target
142.1348146,-36.74241704,V51,field_map_2022_04_01_000,Timok,6,24.38,1.501,1,142,126.8,On,1/04/2022,0,2,5.095,0,100,0,0,100,2559.5,2.27,33.9,42.15,92.97,17.21,73.3,26.7,0.1,100,2.7,0,394.63,0.039,64,6.651,13.17,1/04/2022,Skip,Under Target
142.1348186,-36.74243226,V51,field_map_2022_04_01_000,Timok,7,24.38,1.526,1,138,126.8,On,1/04/2022,0,2,5.287,0,100,0,0,100,3523.6,2.225,36.48,50.15,92.4,16.88,72.1,27.9,0.1,100,2.6,0,472.95,0.047,64,5.55,13.39,1/04/2022,Skip,Under Target
142.1348275,-36.74244811,V51,field_map_2022_04_01_000,Timok,8,24.38,1.829,1,135,126.8,On,1/04/2022,0,2,5.728,0,100,0,0,100,3891,2.29,36.45,52.08,91.35,16.76,71.2,28.8,0.1,100,2.6,0,530.47,0.053,64,4.948,16.06,1/04/2022,Skip,Under Target
142.1348376,-36.74246359,V51,field_map_2022_04_01_000,Timok,9,24.38,1.836,1,132,126.8,On,1/04/2022,0,2,6.629,0,100,0,0,100,4296.5,2.375,34.42,39.65,94.1,16.58,70.8,29.2,0.1,100,3,0,584.33,0.058,64,4.492,16.12,1/04/2022,Skip,Under Target
142.1348524,-36.74247529,V51,field_map_2022_04_01_000,Timok,10,24.38,1.851,1,132,126.8,On,1/04/2022,0,2,6.558,0,100,0,0,100,4738.3,2.41,35.42,41.8,93.47,16.19,71.4,28.6,0.1,100,2.6,0,625.17,0.063,64,4.198,16.25,1/04/2022,Skip,Under Target
142.1348825,-36.74247615,V51,field_map_2022_04_01_000,Timok,11,24.38,1.925,1,141,126.8,On,1/04/2022,0,2,6.753,0,100,0,0,100,5024.1,2.4,35.1,37.63,94.28,16.13,74.2,25.8,0.1,100,2.9,0,674.62,0.067,64,3.891,16.9,1/04/2022,Skip,Under Target
142.1349082,-36.74248229,V51,field_map_2022_04_01_000,Timok,12,24.38,1.896,1,148,126.8,On,1/04/2022,0,2,6.803,0,100,0,0,100,5264.3,2.43,34,52.23,92.05,16.04,75.9,24.1,0.1,100,2.5,0,701.11,0.07,64,3.744,16.64,1/04/2022,Skip,Under Target
142.134927,-36.74249357,V51,field_map_2022_04_01_000,Timok,13,24.38,1.923,1,152,126.8,On,1/04/2022,0,2,6.906,0,100,0,0,100,5425.5,2.435,34.45,68.95,91.42,16.36,78.5,21.5,0.1,100,2.9,0,719.79,0.072,64,3.646,16.88,1/04/2022,Skip,Under Target
142.1349466,-36.74250504,V51,field_map_2022_04_01_000,Timok,14,24.38,1.909,1,157,126.8,On,1/04/2022,0,2,6.907,0,100,0,0,100,5603.1,2.345,33.65,80.38,90.47,16.63,80.6,19.4,0.1,100,3,0,704.08,0.07,64,3.728,16.76,1/04/2022,Skip,Under Target
142.1349673,-36.74251741,V51,field_map_2022_04_01_000,Timok,15,24.38,1.929,1,163,126.8,On,1/04/2022,0,2,6.925,0,100,0,0,100,5870.5,2.24,34,90.5,85.7,16.99,80.8,19.2,0.1,100,3,0,639.99,0.064,64,4.101,16.93,1/04/2022,Skip,Under Target
142.134976,-36.74253352,V51,field_map_2022_04_01_000,Timok,16,24.38,1.934,1,164,126.8,On,1/04/2022,0,2,6.938,0,100,0,0,100,6040.9,2.2,32.27,95.38,84.17,17.17,79.8,20.2,0.1,100,2.9,0,580.43,0.058,64,4.522,16.97,1/04/2022,Skip,Under Target
142.1349837,-36.74254965,V51,field_map_2022_04_01_000,Timok,17,24.38,1.913,1,165,126.8,On,1/04/2022,0,2,6.941,0,100,0,0,100,4869.8,2.23,34.77,96.22,88.45,17.15,79.8,20.2,0.1,100,2.6,0,519.84,0.052,64,5.049,16.79,1/04/2022,Skip,Under Target
142.1349913,-36.74256602,V51,field_map_2022_04_01_000,Timok,18,24.38,1.932,1,166,126.8,On,1/04/2022,0,2,6.946,0,100,0,0,100,4347.2,2.225,34.77,95.88,84.33,17.14,81,19,0.1,100,3,0,489.23,0.049,64,5.365,16.96,1/04/2022,Skip,Under Target
142.1349982,-36.74258243,V51,field_map_2022_04_01_000,Timok,19,24.38,1.917,1,167,126.9,On,1/04/2022,0,2,6.915,0,100,0,0,100,3981.3,2.295,36.98,94.2,86.6,17.26,80.1,19.9,0.1,100,2.9,0,464.36,0.046,64,5.652,16.82,1/04/2022,Skip,Under Target
142.1350156,-36.74259734,V51,field_map_2022_04_01_000,Timok,20,24.38,1.908,1,173,126.9,On,1/04/2022,0,2,6.93,0,100,0,0,100,3989.4,2.29,36.35,92.33,86.25,17.86,81.3,18.7,0.1,100,3,0,464.33,0.046,64,5.653,16.75,1/04/2022,Skip,Under Target
142.1350329,-36.74261374,V51,field_map_2022_04_01_000,Timok,21,24.38,1.925,1,180,126.9,On,1/04/2022,0,2,6.909,0,100,0,0,100,4008.6,2.175,34.23,92.1,86.22,17.97,81.4,18.6,0.1,100,3,0,472.02,0.047,64,5.561,16.9,1/04/2022,Skip,Under Target
142.135042,-36.74263143,V51,field_map_2022_04_01_000,Timok,22,24.38,1.938,1,184,126.8,On,1/04/2022,0,2,6.936,0,100,0,0,100,4103.4,2.105,34.33,86.88,86.28,18.17,82.4,17.6,0.1,100,2.7,0,483.58,0.048,64,5.428,17.01,1/04/2022,Skip,Under Target
142.1350451,-36.7426489,V51,field_map_2022_04_01_000,Timok,23,24.38,1.91,1,186,126.9,On,1/04/2022,0,2,6.936,0,100,0,0,100,4361,2.09,33.42,88.92,86.55,18.22,82.9,17.1,0.1,100,2.7,0,494.33,0.049,64,5.31,16.77,1/04/2022,Skip,Under Target
